CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.09%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.97%;276MiB / 7.463GiB;3.61%;37.2MB / 37.7MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.10%;1.076GiB / 7.463GiB;14.41%; 12.1MB / 6.89MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;86.20%; 266.5MiB / 7.463GiB;3.49%;5.56MB / 7.08MB;0B / 0B;9
7f1a097997c1;airflow-minio-1;0.09%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;1.29%;411MiB / 7.463GiB;5.38%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;0.87%;83.41MiB / 7.463GiB;1.09%;51.1MB / 56MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.60%;13.61MiB / 7.463GiB;0.18%;960kB / 812kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.09%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.97%;276MiB / 7.463GiB;3.61%;37.2MB / 37.7MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.10%;1.076GiB / 7.463GiB;14.41%; 12.1MB / 6.89MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;86.20%; 266.5MiB / 7.463GiB;3.49%;5.56MB / 7.08MB;0B / 0B;9
7f1a097997c1;airflow-minio-1;0.09%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;1.29%;411MiB / 7.463GiB;5.38%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;0.87%;83.41MiB / 7.463GiB;1.09%;51.1MB / 56MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.60%;13.61MiB / 7.463GiB;0.18%;960kB / 812kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.18%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;30.62%; 276MiB / 7.463GiB;3.61%;37.2MB / 37.8MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;68.33%; 1.076GiB / 7.463GiB;14.42%; 12.6MB / 7.09MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;95.24%; 308.5MiB / 7.463GiB;4.04%;5.56MB / 7.09MB;0B / 0B;9
7f1a097997c1;airflow-minio-1;0.12%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;1.67%;414MiB / 7.463GiB;5.42%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;14.61%; 83.48MiB / 7.463GiB;1.09%;51.3MB / 56.4MB;0B / 0B;25
