CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
931cd589197c;airflow-redis-1;0.10%;9.109MiB / 7.463GiB;0.12%;147kB / 122kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.10%;1.402GiB / 7.463GiB;18.79%;137kB / 161kB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.58%;251.4MiB / 7.463GiB;3.29%;5.02MB / 5.14MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.09%;1.092GiB / 7.463GiB;14.63%;2.13MB / 1.35MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.79%;174.2MiB / 7.463GiB;2.28%;860kB / 1.09MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.08%;123.5MiB / 7.463GiB;1.62%;15.1kB / 4.12kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;0.00%;17.38MiB / 7.463GiB;0.23%;1.24kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;0.70%;57.64MiB / 7.463GiB;0.75%;7.92MB / 8.69MB;0B / 0B;22
931cd589197c;airflow-redis-1;0.10%;9.109MiB / 7.463GiB;0.12%;147kB / 122kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.32%;1.402GiB / 7.463GiB;18.79%;138kB / 162kB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;14.25%;257.9MiB / 7.463GiB;3.37%;5.05MB / 5.17MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;77.63%;1.098GiB / 7.463GiB;14.71%;2.56MB / 1.51MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.92%;174.2MiB / 7.463GiB;2.28%;865kB / 1.1MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.12%;123.5MiB / 7.463GiB;1.62%;15.1kB / 4.12kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;0.00%;17.38MiB / 7.463GiB;0.23%;1.24kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;15.50%;57.99MiB / 7.463GiB;0.76%;8.08MB / 9.11MB;0B / 0B;22
931cd589197c;airflow-redis-1;0.16%;9.109MiB / 7.463GiB;0.12%;148kB / 123kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.32%;1.402GiB / 7.463GiB;18.79%;138kB / 162kB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;14.25%;257.9MiB / 7.463GiB;3.37%;5.05MB / 5.17MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;77.63%;1.098GiB / 7.463GiB;14.71%;2.56MB / 1.51MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.92%;174.2MiB / 7.463GiB;2.28%;865kB / 1.1MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.12%;123.5MiB / 7.463GiB;1.62%;15.1kB / 4.12kB;0B / 0B;21
